Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Fertilizer_encoded
0.125,1.0,1.0,0.25,0.875,0.5,1
0.875,0.5,1.0,0.25,0.375,0.25,1
0.75,0.25,0.0,0.5,0.75,0.25,1
0.875,0.5,0.0,0.5,1.0,0.75,0
0.625,0.0,0.5,0.75,0.875,0.5,1
0.375,0.75,0.25,0.75,0.375,0.25,0
0.0,1.0,0.75,0.25,0.375,0.0,1
0.375,0.75,0.5,1.0,1.0,0.75,1
0.0,0.5,0.75,1.0,0.5,0.5,0
0.25,0.5,0.0,0.5,1.0,0.75,0
0.0,1.0,0.0,0.5,0.75,0.25,0
0.5,1.0,0.5,1.0,0.5,0.5,0
1.0,0.75,0.75,1.0,0.75,0.25,1
0.75,0.5,1.0,0.25,0.375,0.25,1
0.0,0.0,0.25,0.5,1.0,0.75,0
0.375,0.25,0.25,0.5,0.5,0.5,1
0.75,0.0,0.0,0.25,0.375,0.25,1
0.875,0.75,1.0,0.25,0.625,0.75,0
0.0,0.75,0.5,1.0,1.0,0.75,1
0.5,1.0,1.0,0.5,0.25,0.75,1
0.625,0.75,0.5,0.25,0.125,1.0,1
0.75,0.5,0.75,1.0,0.5,0.5,0
0.625,1.0,0.25,0.75,0.625,0.75,1
0.25,1.0,0.0,0.5,0.75,0.25,0
0.5,0.0,1.0,0.25,0.625,0.75,1
1.0,0.5,1.0,0.0,0.0,0.75,1
0.375,0.0,1.0,0.25,0.625,0.75,1
0.0,0.75,0.0,0.5,0.5,0.5,1
0.625,0.25,1.0,0.25,0.875,0.5,0
1.0,0.75,1.0,0.25,0.625,0.75,0
0.5,0.75,0.75,1.0,0.75,0.25,1
0.125,0.0,0.5,0.75,0.875,0.5,1
0.375,0.75,0.75,1.0,0.75,0.25,1
0.0,0.25,0.75,1.0,1.0,0.75,1
0.625,0.75,0.0,0.5,0.5,0.5,1
0.625,0.25,0.0,0.5,0.75,0.25,1
0.5,0.75,0.5,1.0,1.0,0.75,1
0.125,0.5,0.0,0.5,1.0,0.75,0
0.5,1.0,0.0,0.5,0.75,0.25,0
0.875,0.0,0.0,0.25,0.375,0.25,1
0.375,0.0,0.75,1.0,0.75,0.25,0
1.0,0.75,0.5,1.0,1.0,0.75,1
0.5,1.0,0.25,0.75,0.625,0.75,1
0.875,0.25,0.0,0.5,0.75,0.25,1
0.75,0.75,0.5,0.25,0.125,1.0,1
0.875,0.25,1.0,0.25,0.875,0.5,0
0.75,0.0,1.0,0.25,0.625,0.75,1
0.5,0.25,0.25,0.5,0.5,0.5,1
0.75,0.75,0.25,0.75,0.375,0.25,0
0.75,0.75,1.0,0.25,0.125,0.75,0
0.5,1.0,0.5,0.5,0.25,1.0,0
0.375,0.75,1.0,0.25,0.625,0.75,0
1.0,0.5,0.5,0.0,0.0,0.75,1
0.5,0.75,1.0,0.25,0.625,0.75,0
0.125,0.25,0.5,0.75,0.375,0.25,0
0.5,0.5,0.75,1.0,0.5,0.5,0
0.375,0.25,1.0,0.25,0.875,0.5,0
0.5,0.5,0.75,0.0,0.0,1.0,0
0.75,1.0,0.75,0.25,0.375,0.0,1
0.5,0.5,1.0,0.25,0.375,0.25,1
0.625,1.0,0.5,0.5,0.25,1.0,0
0.375,0.0,0.0,0.25,0.375,0.25,1
0.5,0.25,0.75,1.0,1.0,0.75,1
0.875,0.5,0.25,0.75,0.875,0.5,1
0.875,0.5,0.5,0.75,0.625,0.75,1
0.0,0.0,1.0,0.25,0.625,0.75,1
0.375,0.25,0.5,0.75,0.375,0.25,0
0.25,0.0,1.0,0.25,0.625,0.75,1
0.25,0.25,0.0,0.5,0.75,0.25,1
0.75,1.0,1.0,0.25,0.875,0.5,1
0.125,1.0,0.75,0.25,0.375,0.0,1
0.375,1.0,0.0,0.5,0.75,0.25,0
0.5,0.25,0.5,0.75,0.375,0.25,0
0.625,0.5,0.0,0.5,1.0,0.75,0
0.0,0.5,0.5,0.75,0.625,0.75,1
0.25,0.75,0.0,0.5,0.5,0.5,1
0.0,0.0,0.75,1.0,0.75,0.25,0
0.625,0.75,1.0,0.25,0.625,0.75,0
0.125,0.75,0.25,0.75,0.375,0.25,0
0.375,0.5,0.25,0.75,0.875,0.5,1
0.625,0.5,1.0,0.0,0.0,0.75,1
0.0,1.0,0.25,0.75,0.625,0.75,1
0.125,0.5,1.0,0.25,0.375,0.25,1
0.125,0.0,0.75,1.0,0.75,0.25,0
0.875,1.0,0.75,0.5,0.25,0.75,1
0.875,0.5,0.75,1.0,0.5,0.5,0
0.75,1.0,0.25,0.75,0.625,0.75,1
0.375,0.25,0.75,1.0,1.0,0.75,1
0.75,0.5,0.5,0.0,0.0,0.75,1
0.375,0.0,0.5,0.75,0.875,0.5,1
0.0,0.25,0.0,0.5,0.75,0.25,1
0.75,0.0,0.25,0.5,1.0,0.75,0
0.625,1.0,1.0,0.5,0.25,0.75,1
0.75,0.75,0.75,1.0,0.75,0.25,1
0.25,0.75,0.5,1.0,1.0,0.75,1
0.625,0.5,0.5,0.75,0.625,0.75,1
0.875,0.5,1.0,0.0,0.0,0.75,1
0.5,0.5,0.0,0.5,1.0,0.75,0
0.625,0.25,0.75,1.0,1.0,0.75,1
0.75,1.0,1.0,0.5,0.25,0.75,1
0.25,1.0,0.5,1.0,0.5,0.5,0
0.125,1.0,0.25,0.75,0.625,0.75,1
0.0,0.0,0.5,0.75,0.875,0.5,1
