Aug_Tmax,Aug_RH,Sep_RH,Oct_SRAD,Nov_SRAD,Dec_SRAD,Dec_RH,Dec_Rain,Yield_Class
34.44,67.95,70.13,19.05,16.41,15.15,81.81,199.18,Low
32.3,75.1,77.65,17.01,11.82,15.38,82.41,118.7,Medium
36.88,68.63,70.61,17.59,17.31,17.04,88.56,87.37,Medium
36.78,70.65,74.12,16.55,14.75,14.56,88.65,188.68,Medium
31.31,79.22,80.71,18.74,14.03,14.93,76.47,48.34,Low
36.25,72.99,73.69,17.67,12.46,11.23,92.56,504.355,Medium
34.34,79.94,78.64,18.02,17.14,15.33,87.58,85.09,Medium
30.34,82.41,82.23,19.75,16.39,16.83,80.7,115.88,Medium
31.96,76.17,78.22,16.73,14.16,14.78,84.89,124.85,Low
34.3,70.75,71.13,17.76,15.14,15.33,80.23,108.86,Medium
31.67,77.93,80.56,18.59,15.66,14.87,75.76,62.68,Low
31.36,77.69,78.95,17.77,14.83,15.24,79.12,62.36,Low
35.48,75.62,73.39,17.7,17.04,14.08,88.33,324.1,Medium
33.48,71.2,74.93,19.68,16.56,15.57,80.24,94.11,Low
34.64,73.18,74.28,17.67,12.46,11.23,90.79,504.355,Medium
32.82,75.86,75.24,19.5,15.31,14.37,81.91,150.28,Medium
32.0,79.35,79.67,19.01,13.52,13.46,89.38,456.97,Medium
30.86,82.24,82.32,19.72,15.9,14.89,82.28,116.78,Medium
31.92,76.74,77.42,18.79,15.72,16.35,72.48750000000003,10.41,Low
37.65,70.53,76.21,17.96,15.42,14.23,84.97,115.01,Medium
36.42,67.41,72.82,18.18,14.2,13.8,85.89,480.23,High
33.84,68.85,64.67,16.73,17.54,14.67,88.19,126.81,Medium
31.65,77.71,78.84,17.56,17.3,14.55,80.37,267.93,Medium
31.43,76.73,77.85,17.65,12.44,12.41,86.05,290.38,Low
33.88,69.95,67.43,20.89,12.87,16.93,80.56,49.72,Medium
31.75,76.84,76.13,14.4675,12.95,11.5,85.22,408.9,Low
32.25,78.74,79.89,18.74,14.03,14.93,77.17,54.72,Low
32.82,76.94,77.03,18.79,15.72,16.35,72.48750000000003,6.83,Medium
35.54,69.71,70.03,18.73,16.67,14.35,86.14,137.27,High
36.06,66.84,70.36,17.81,14.36,14.3,89.88,125.93,Medium
36.59,72.79,72.94,17.25,17.23,13.73,81.88,74.73,Medium
33.81,72.53,72.49,20.72,17.42,12.09,82.99,215.2,Low
36.07,71.51,77.59,17.96,15.42,14.23,81.49,83.06,Medium
34.76,70.14,76.17,18.79,15.43,12.2,79.52,254.38,Low
29.45,83.04,84.31,17.71,18.73,14.61,84.01,238.95,Medium
34.04,68.73,71.47,17.69,17.06,14.47,83.31,92.77,Medium
32.18,77.11,79.66,15.28,13.93,13.79,77.4,219.79,Low
31.01,80.74,81.72,18.77,16.58,16.65,83.49,63.34,Low
30.19,79.51,78.37,17.97,17.77,15.02,83.59,172.98,Medium
31.69,76.8,79.86,16.66,14.18,14.02,77.19,76.01,Low
37.51,66.35,69.11,18.23,16.27,13.31,88.42,504.355,Medium
31.21,82.52,81.61,19.61,18.21,14.59,85.94,259.03,Medium
32.12,79.87,71.73,18.83,16.1,14.63,86.58,166.77,Low
33.87,69.17,68.84,18.73,16.67,14.35,83.37,130.03,Low
32.54,75.51,75.79,16.74,13.11,14.73,75.38,25.34,Medium
36.42,70.12,74.12,18.12,16.75,13.57,87.3,173.52,Medium
32.31,77.07,78.48,19.62,13.41,16.71,84.61,101.22,Medium
