Year,Month,District,Tmax,SRAD,RH,Rain
1984,1,BATTICALOA,27.56,12.71,85.08,331.78
1984,1,JAFFNA,27.17,13.1,84.14,192.61
1984,1,MANNAR,27.97,14.18,87.13,254.0
1984,1,MONARAGALA,27.58,13.96,92.02,279.9
1984,1,MULLATIVU,26.89,13.1,84.98,266.93
1984,1,POLONNARUWA,28.44,12.71,89.72,365.56
1984,1,PUTTALAM,28.68,14.18,88.16,302.03
1984,1,TRINCOMALEE,27.2,12.11,86.04,357.92
1984,1,VAVUNIYA,27.87,13.94,89.45,321.65
1984,1,HAMBANTOTA,27.7,13.96,84.8,257.09
1984,1,AMPARA,27.56,12.71,85.08,331.78
1984,1,ANURADHAPURA,28.47,13.94,91.38,363.79
1984,2,BATTICALOA,28.36,11.65,85.69,307.58
1984,2,JAFFNA,27.3,11.99,85.93,315.37
1984,2,MANNAR,28.33,13.64,88.01,346.94
1984,2,MONARAGALA,28.53,12.99,92.22,277.88
1984,2,MULLATIVU,27.28,11.99,86.42,317.07
1984,2,POLONNARUWA,29.21,11.65,89.85,326.22
1984,2,PUTTALAM,29.42,13.64,88.2,244.47
1984,2,TRINCOMALEE,28.46,12.01,86.06,321.51
1984,2,VAVUNIYA,28.96,12.47,89.64,358.39
1984,2,HAMBANTOTA,28.55,12.99,85.11,293.38
1984,2,AMPARA,28.36,11.65,85.69,307.58
1984,2,ANURADHAPURA,29.58,12.47,91.14,348.29
1984,3,BATTICALOA,29.45,19.75,76.95,137.47
1984,3,JAFFNA,30.22,18.93,76.58,112.2
1984,3,MANNAR,30.65,20.56,79.23,158.05
1984,3,MONARAGALA,29.71,20.27,85.12,134.37
1984,3,MULLATIVU,29.7,18.93,78.24,112.23
1984,3,POLONNARUWA,31.06,19.75,81.56,135.18
1984,3,PUTTALAM,30.5,20.56,80.25,175.54
1984,3,TRINCOMALEE,30.0,19.25,78.78,129.6
1984,3,VAVUNIYA,31.03,20.06,82.03,149.68
1984,3,HAMBANTOTA,28.73,20.27,78.39,171.04
1984,3,AMPARA,29.45,19.75,76.95,137.47
1984,3,ANURADHAPURA,31.31,20.06,84.21,170.89
1984,4,BATTICALOA,31.25,18.61,79.93,263.19
