District,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
COLOMBO,2882,2756,2961,3326,3435,2940,3375,2970,3567,3290,3240,3148,3157,3490,3220,3442,3209,3518,3575,3280,3568,3251,3275,3033,3502,3554,3505,2706,3477,3597,3551,3431
GAMPAHA,3477,3215,2872,3316,2901,3207,3261,2648,2970,3262,3371,3307,3316,3391,2597,3037,3247,3253,3499,3251,3245,3408,3603,3134,3495,3353,3451,3061,3453,3750,3118,3594
KALUTARA,2631,2389,2558,2802,2523,2337,2624,2731,2783,2392,2858,2704,2375,2689,2547,3064,2859,2918,2876,2478,2426,2865,2861,3170,2884,3115,3208,2917,3367,3105,2915,3644
GALLE,2383,2326,2341,2676,2773,2867,2673,2635,2659,2679,2938,2651,2526,2911,3154,3042,3085,2902,3592,3438,3383,3711,3498,3418,3190,3032,3286,2968,3431,3552,3653,3738
MATARA,2757,3149,2601,3264,2994,3117,3253,2696,3480,2888,3143,2985,2837,3357,3253,3431,3540,3418,3735,3514,3799,3785,4025,3692,3887,3491,3641,3474,3653,3960,3882,4266
RATNAPURA,2911,3152,2788,3029,3209,3200,3350,2937,2843,2736,2989,2939,2923,3296,2804,2927,3296,3346,3442,3080,3003,3028,3012,3342,3305,3462,3318,3519,3367,3766,4053,3924
KEGALLE,3507,3586,3538,3446,3076,3460,3592,3453,3357,3787,3493,3709,3539,3641,3436,3354,3709,3885,4042,3421,3233,3403,4032,3143,3749,3721,3791,2993,3629,3916,3344,3857
KURUNEGALA,3055,3617,3724,3663,3353,3438,3436,3619,3265,3372,3515,3533,3171,3493,3460,3171,3614,3601,3520,3520,3608,3492,3655,4035,3838,3940,4033,3319,3934,4806,4062,3609
PUTTALAM,2158,2643,2555,2832,2853,2977,2623,3161,2761,2347,2843,3385,3429,3244,3079,3259,3442,3562,3314,3108,3685,3704,3451,3962,3834,3976,3973,3641,4087,4599,4072,4028
KANDY,3171,3727,3998,3242,3398,3368,3251,3377,3333,2509,2785,3015,3466,3367,3151,2973,3509,3922,3910,3554,3627,3488,3620,3710,3764,3768,3470,3121,4169,4013,4187,4203
