Date,1_month_rainfall_aggregate,1_month_rainfall_aggregate_avg
1981-01-01,,
1981-01-11,,
1981-01-21,89.5776,180.1767
1981-02-01,72.4396,143.8716
1981-02-11,65.25,107.4868
1981-02-21,64.6379,77.2302
1981-03-01,8.1034,64.8802
1981-03-11,8.6293,65.8649
1981-03-21,25.6552,71.8262
1981-04-01,58.6379,78.3716
1981-04-11,70.75,91.55
1981-04-21,69.1207,104.1287
1981-05-01,136.6466,133.4764
1981-05-11,188.3534,159.3523
1981-05-21,208.9396,161.1474
1981-06-01,110.0086,108.7931
1981-06-11,43.7931,49.7503
1981-06-21,8.7931,14.0302
1981-07-01,8.5086,21.0032
1981-07-11,40.75,36.7463
1981-07-21,93.4052,52.298
1981-08-01,97.8966,53.6175
1981-08-11,68.4224,60.8282
1981-08-21,42.2672,70.2537
1981-09-01,105.7845,93.3828
1981-09-11,263.0603,99.7816
1981-09-21,241.138,127.15
1981-10-01,178.3534,147.3385
1981-10-11,70.2241,205.3934
1981-10-21,207.4052,260.2779
1981-11-01,265.9569,306.6902
1981-11-11,250.3879,324.5644
1981-11-21,182.2759,337.5647
1981-12-01,169.1121,341.21
1981-12-11,264.6983,356.7336
1981-12-21,208.1638,339.5899
1982-01-01,158.2845,301.2839
1982-01-11,28.6724,237.2716
1982-01-21,10.8621,180.1767
1982-02-01,7.9397,143.8716
1982-02-11,6.5776,107.4868
1982-02-21,4.7155,77.2302
1982-03-01,4.4138,64.8802
1982-03-11,5.4828,65.8649
1982-03-21,22.1379,71.8262
1982-04-01,23.7672,78.3716
1982-04-11,47.931,91.55
1982-04-21,77.1379,104.1287
1982-05-01,79.9483,133.4764
1982-05-11,92.431,159.3523
1982-05-21,114.2672,161.1474
1982-06-01,115.681,108.7931
1982-06-11,77.75,49.7503
1982-06-21,9.7241,14.0302
1982-07-01,8.9569,21.0032
1982-07-11,12.0948,36.7463
1982-07-21,19.9397,52.298
1982-08-01,19.7069,53.6175
1982-08-11,30.6724,60.8282
1982-08-21,27.9224,70.2537
1982-09-01,33.0776,93.3828
1982-09-11,70.4138,99.7816
1982-09-21,91.4224,127.15
1982-10-01,123.0776,147.3385
1982-10-11,104.0172,205.3934
1982-10-21,168.2586,260.2779
1982-11-01,244.9483,306.6902
1982-11-11,255.9483,324.5644
1982-11-21,377.9224,337.5647
1982-12-01,462.3707,341.21
1982-12-11,572.5517,356.7336
1982-12-21,394.2414,339.5899
1983-01-01,194.0603,301.2839
